ds,yhat
11 July 2019,3766.363102
12 July 2019,3802.470001
13 July 2019,3731.098194
14 July 2019,3606.935413
15 July 2019,3676.225918
16 July 2019,3628.061885
17 July 2019,3605.365714
18 July 2019,3636.466913
19 July 2019,3671.543039
20 July 2019,3600.577889
21 July 2019,3478.178978
22 July 2019,3550.487811
23 July 2019,3506.474796
24 July 2019,3488.925511
25 July 2019,3526.021865
26 July 2019,3567.787497
27 July 2019,3504.050454
28 July 2019,3389.265068
29 July 2019,3469.42638
30 July 2019,3433.368846
31 July 2019,3423.755919
01 August 2019,3468.663936
02 August 2019,3518.029585
03 August 2019,3461.613929
04 August 2019,3353.824878
05 August 2019,3440.631423
06 August 2019,3410.861421
07 August 2019,3407.189523
08 August 2019,3457.718777
09 August 2019,3512.42523
10 August 2019,3461.118645
11 August 2019,3358.26132
12 August 2019,3449.87848
13 August 2019,3424.852143
14 August 2019,3425.905232
15 August 2019,3481.179582
16 August 2019,3540.677315
17 August 2019,3494.218824
18 August 2019,3396.259466
19 August 2019,3492.798521
20 August 2019,3472.672404
21 August 2019,3478.538923
22 August 2019,3538.45627
23 August 2019,3602.326208
24 August 2019,3559.854638
25 August 2019,3465.371596
26 August 2019,3564.744154
27 August 2019,3546.674064
28 August 2019,3553.686845
29 August 2019,3613.715808
30 August 2019,3676.550352
31 August 2019,3631.801519
01 September 2019,3533.726714
02 September 2019,3628.146852
03 September 2019,3603.747677
04 September 2019,3603.071736
05 September 2019,3654.104446
06 September 2019,3706.723438
07 September 2019,3650.664118
08 September 2019,3540.343295
09 September 2019,3621.77415
10 September 2019,3583.864279
11 September 2019,3569.403384
12 September 2019,3606.644126
13 September 2019,3645.745437
14 September 2019,3576.731398
15 September 2019,3454.30769
16 September 2019,3524.769092
17 September 2019,3477.28996
18 September 2019,3454.904493
19 September 2019,3486.080477
20 September 2019,3521.156071
21 September 2019,3450.292893
22 September 2019,3328.287633
23 September 2019,3401.475812
24 September 2019,3359.019758
25 September 2019,3343.887713
26 September 2019,3384.427827
27 September 2019,3430.806616
28 September 2019,3372.965163
29 September 2019,3265.435197
30 September 2019,3354.248599
01 October 2019,3328.232282
02 October 2019,3329.995163
03 October 2019,3387.510829
04 October 2019,3450.565209
